Film,rotten_tomatos_score,audience_score,Year,won_best_picture,metacritic_scores,Rating_IMDB,IMDB_votesK,golden_globes_awards,budget_mil,box_office_mil,Genre_action,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,runtime
Gladiator,76,87,2000,1,67,8.7,1600,5,103,460.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,155
Traffic,75,85,2000,0,86,7.2,217,1,46,207.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,147
Crouching Tiger Hidden Dragon,97,86,2000,0,94,7.9,280,2,17,213.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,120
A Beautiful Mind,74,93,2001,1,72,8.2,972,4,58,313.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Moulin Rouge!,76,87,2001,0,66,7.6,297,3,52,179.2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,127
The Lord of the Rings The Fellowship of the Ring,91,86,2001,0,92,8.9,2000,1,93,871.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,178
Chicago,86,86,2002,1,81,7.2,240,4,45,306.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
Gangs of New York,74,80,2002,0,72,7.5,467,0,100,193.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163
The Hours,80,72,2002,0,80,7.2,137,1,25,108.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,110
The Lord of the Rings The Return of the King,93,86,2003,1,94,8.9,1900,3,94,1140,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,201
Lost in Translation,95,86,2003,0,91,7.7,482,3,4,119.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102
Mystic River,87,86,2003,0,84,7.9,497,1,30,156.8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,138
Million Dollar Baby,91,90,2004,1,86,8.1,713,3,30,216.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,132
The Aviator,87,80,2004,0,77,7.5,380,2,110,214,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Sideways,96,85,2004,0,94,7.5,200,1,16,109.7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,127
Crash,74,88,2005,1,66,7.8,446,1,6.5,98.4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,118
Brokeback Mountain,87,82,2005,0,87,7.7,377,2,14,178.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,134
Munich,78,75,2005,0,74,7.5,236,0,75,130.4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,164
The Departed,91,94,2006,1,85,8.5,1400,2,90,291.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,151
Babel,69,70,2006,0,69,7.5,315,1,25,135.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153
Letters from Iwo Jima,91,85,2006,0,89,7.8,169,0,19,68.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,141
No Country for Old Men,93,86,2007,1,92,8.1,1000,2,25,171.6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,122
There Will Be Blood,91,86,2007,0,93,8.2,632,1,25,76.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158
Atonement,83,80,2007,0,85,7.8,296,2,30,131.5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,123
Slumdog Millionaire,91,90,2008,1,84,8,869,4,15,377.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,120
The Curious Case of Benjamin Button,71,81,2008,0,70,7.8,687,1,150,333.9,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,166
Frost-Nixon,92,87,2008,0,80,7.7,112,0,25,27.4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,122
The Hurt Locker,97,84,2009,1,95,7.6,469,2,15,49.2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,131
Avatar,82,82,2009,0,83,7.9,1400,2,237,2847,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,162
Inglourious Basterds,89,88,2009,0,69,8.4,1600,1,70,321.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,153
The King's Speech,95,92,2010,1,88,8,701,2,15,414.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118
The Social Network,96,86,2010,0,95,7.8,748,3,40,224.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Inception,87,91,2010,0,74,8.8,2500,1,160,829.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,158
The Artist,95,87,2011,1,89,7.9,247,2,15,133.4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,100
The Descendants,89,76,2011,0,84,7.3,249,1,20,177.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Hugo,93,81,2011,0,83,7.5,334,1,150,185.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,126
Argo,96,90,2012,1,86,7.7,633,2,44.5,232.3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,120
Lincoln,90,71,2012,0,87,7.3,270,1,65,275.3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,150
Zero Dark Thirty,91,71,2012,0,95,7.4,316,1,40,132.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,157
12 Years a Slave,95,90,2013,1,96,8.1,731,2,20,187.7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,134
Gravity,96,79,2013,0,96,7.7,855,1,100,732.2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,91
American Hustle,93,70,2013,0,90,7.2,497,2,40,251.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138
Birdman or (The Unexpected Virtue of Ignorance),91,78,2014,1,87,7.8,657,2,18,103.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119
Boyhood,97,81,2014,0,87,7.7,659,2,4,57.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119
The Grand Budapest Hotel,91,86,2014,0,88,8.1,872,1,25,174.8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99
Spotlight,97,93,2015,1,93,8.1,494,1,20,98.3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,129
The Revenant,78,83,2015,0,76,8,859,3,135,532.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,156
Mad Max Fury Road,97,86,2015,0,90,8.1,1100,1,150,375.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,120
Moonlight,98,79,2016,1,99,7.9,326,1,1.5,65.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111
La La Land,91,81,2016,0,94,8,650,3,30,336.1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,128
Manchester by the Sea,96,77,2016,0,96,7.8,306,1,8.5,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137
The Shape of Water,92,72,2017,1,87,7.3,441,1,19.5,195.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,123
Three Billboards Outside Ebbing Missouri,90,87,2017,0,88,8.1,545,3,15,160,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Get Out,98,86,2017,0,85,7.8,678,2,4.5,255.4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,104
Green Book,78,91,2018,1,69,8.3,546,5,23,322.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130
Roma,95,83,2018,0,96,7.7,168,2,15,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Black Panther,96,79,2018,0,88,7.3,826,3,200,1347,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,134
Parasite,98,90,2019,1,96,8.5,911,1,12,258.8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132
1917,89,88,2019,0,78,8.2,658,2,95,374.7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,120
Once upon a time in Hollywood,85,70,2019,0,83,7.6,820,3,100,374.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161
Nomadland,94,82,2020,1,89,7.5,177,2,5,39.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107
The Trial of the Chicago 7,90,80,2020,0,76,7.7,190,2,30,43,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,129
Minari,98,80,2020,0,89,7.4,94,1,10,15.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Everything Everywhere All at Once,94,86,2022,1,81,7.8,502,2,25,141.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139
Elvis,77,94,2022,0,64,7.3,224,1,85,288,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,159
All Quiet on the Western Front,90,90,2022,0,76,7.8,234,1,20,58,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,147
